postcode,electricity_all_meters,electricity_all_consumption_kwh,electricity_standard_meters,electricity_standard_consumption_kwh,electricity_economy7_meters,electricity_economy7_consumption_kwh,gas_meters,gas_consumption_kwh
"M30 9BZ",33,102586,33,102586,,,31,285458
"M30 9DA",22,68111,22,68111,,,21,233676
"M30 9DB",22,64524,,,,,21,206295
"M30 9DD",16,56956,16,56956,,,18,180694
"M30 9DE",18,100611,18,100611,,,19,222695
"M30 9DF",29,72795,29,72795,,,29,249432
"M30 9DG",,,,,,,,
"M30 9DH",41,123166,,,,,40,375056
"M30 9DJ",21,31296,,,,,22,164836
"M30 9DL",41,136380,,,,,40,396390
"M30 9DN",8,19067,,,,,8,91650
"M30 9DP",30,107906,,,,,30,468074
"M30 9DQ",,,,,,,,
"M30 9DT",10,21460,10,21460,,,10,64187
"M30 9DU",23,47601,,,,,17,105831
"M30 9PH",,,,,,,,
"M4 3TR",,,,,,,,
"M45 6AA",,,,,,,,
"M45 6AB",9,41956,,,,,15,270527
"M45 6AD",7,46440,,,,,21,221969
"M45 6AE",45,87172,,,,,45,358652
"M45 6AF",37,83881,,,,,38,361688
"M45 6AH",32,61946,,,,,33,285544
"M45 6AJ",,,,,,,,
"M45 6AL",8,26170,,,,,12,156298
"M45 6AN",46,102099,,,,,47,356617
"M45 6AP",42,99872,37,72320,5,27552,39,260012
"M45 6AQ",,,,,,,,
"M45 6AR",20,48845,,,,,20,258714
"M45 6AS",13,36781,13,36781,,,13,157658
"M45 6AT",5,13804,,,,,12,152850
"M45 6AU",9,14095,,,,,11,158092
"M45 6AW",,,,,,,,
"M45 6AX",,,,,,,,
"M45 6AY",20,74477,20,74477,,,21,283450
"M45 6AZ",24,59227,24,59227,,,22,259956
"M45 6BA",24,64479,,,,,25,277247
"M45 6BB",25,98742,25,98742,,,25,342294
"M45 6BD",16,44054,,,,,16,192405
"M45 6BE",28,86912,24,66278,,,28,323332
"M45 6BF",,,,,,,,
"M45 6BG",20,50053,,,,,20,183249
"M45 6BH",16,39310,,,,,16,123725
"M45 6BL",5,16781,5,16781,,,6,74026
"M45 6BN",20,55755,9,19317,11,36438,15,81983
"M45 6BP",6,17382,,,,,6,58520
"M45 6BQ",9,22182,9,22182,,,9,101771
"M45 6BS",41,159978,,,,,43,432467
"M45 6BT",11,14250,11,14250,,,13,59081
"M45 6BW",12,36358,,,,,12,101986
"M45 6BX",28,86334,28,86334,,,28,308181
"M45 6BY",27,68150,27,68150,,,28,269473
"M45 6BZ",26,71619,26,71619,,,26,192477
"M45 6DA",26,70175,26,70175,,,26,241062
"M45 6DB",27,72425,27,72425,,,29,271090
"M45 6DE",27,78671,,,,,27,216049
"M45 6DF",33,90626,33,90626,,,33,369814
"M45 6DG",21,84161,,,,,22,219361
"M45 6DH",29,83373,,,,,28,330806
"M45 6DJ",27,65261,,,,,27,304043
"M45 6DL",16,43094,,,,,16,188560
"M45 6DN",17,65608,17,65608,,,18,171033
"M45 6DP",9,35143,9,35143,,,9,128654
"M45 6DQ",19,47973,,,,,19,200045
"M45 6DR",40,98129,,,,,37,319574
"M45 6DS",31,81432,31,81432,,,32,309710
"M45 6DT",20,45349,,,,,20,182402
"M45 6DU",14,40093,14,40093,,,13,144242
"M45 6DW",29,85719,29,85719,,,29,285654
"M45 6DX",17,35267,17,35267,,,16,162844
"M45 6DY",8,28114,8,28114,,,8,83486
"M45 6DZ",12,22807,12,22807,,,11,100202
"M45 6EA",11,35236,11,35236,,,11,94028
"M45 6ED",26,84520,26,84520,,,28,312107
"M45 6EE",16,38551,16,38551,,,15,139983
"M45 6EF",20,53526,20,53526,,,20,154046
"M45 6EG",8,16286,,,,,8,79583
"M45 6EH",26,77206,,,,,26,265666
"M45 6EJ",22,48746,22,48746,,,23,215700
"M45 6EL",18,42786,18,42786,,,17,195536
"M45 6EN",31,88952,,,,,32,438954
"M45 6EP",8,23663,8,23663,,,9,158383
"M45 6EW",14,42413,14,42413,,,14,157029
"M45 6EX",12,33678,12,33678,,,12,143483
"M45 6FA",22,40869,,,,,24,207457
"M45 6FB",8,17961,8,17961,,,8,72839
"M45 6FD",18,45303,18,45303,,,20,167261
"M45 6FE",17,41843,17,41843,,,17,152630
"M45 6FF",56,435110,13,112186,43,322924,,
"M45 6FG",,,,,,,,
"M45 6FH",34,248700,34,248700,,,,
"M45 6FJ",,,,,,,,
"M45 6FN",7,33608,,,,,5,73013
"M45 6FW",18,66434,18,66434,,,18,248323
"M45 6FY",,,,,,,,
"M45 6GE",,,,,,,,
"M45 6GF",16,56218,,,,,17,224505
"M45 6GG",,,,,,,,
"M45 6GN",16,48785,,,,,16,214052
"M45 6GP",8,27017,8,27017,,,8,110809
"M45 6HE",,,,,,,,
"M45 6HG",,,,,,,,
"M45 6JG",,,,,,,,
"M45 6NJ",6,15289,6,15289,,,6,80931
"M45 6NL",5,17251,5,17251,,,5,70220
"M45 6NR",33,99823,33,99823,,,32,355218
"M45 6NS",45,125070,45,125070,,,45,589171
"M45 6NT",41,139791,,,,,41,624633
"M45 6QA",93,255369,,,,,93,1006161
"M45 6QE",,,,,,,,
"M45 6QF",5,15216,5,15216,,,14,380750
"M45 6QJ",,,,,,,,
"M45 6QW",12,82870,,,,,11,269886
"M45 6QZ",10,27229,10,27229,,,9,70857
"M45 6RB",8,18777,8,18777,,,8,99477
"M45 6SB",8,25659,8,25659,,,8,67064
"M45 6TA",6,17243,6,17243,,,8,121450
"M45 6TB",7,13545,7,13545,,,10,191484
"M45 6TD",41,121652,41,121652,,,41,529826
"M45 6TE",22,45043,22,45043,,,23,195613
"M45 6TF",16,34577,16,34577,,,21,314784
"M45 6TG",32,65499,32,65499,,,32,398755
"M45 6TH",17,63494,17,63494,,,17,231654
"M45 6TJ",23,55557,23,55557,,,22,223482
"M45 6TL",5,11535,5,11535,,,10,131609
"M45 6TN",27,66802,27,66802,,,27,320250
"M45 6TP",37,131748,37,131748,,,35,472415
"M45 6TQ",5,19962,,,,,8,97753
"M45 6TR",24,68594,,,,,24,282988
"M45 6TS",,,,,,,,
"M45 6TT",6,21043,6,21043,,,6,58896
"M45 6TU",37,108002,37,108002,,,37,511153
"M45 6TW",21,65221,21,65221,,,20,264889
"M45 6TX",23,73938,23,73938,,,23,338402
"M45 6TY",32,101410,,,,,31,460625
"M45 6TZ",5,16703,5,16703,,,5,69974
"M45 6UA",46,141478,,,,,46,611359
"M45 6UD",13,40745,13,40745,,,13,182480
"M45 6UE",31,101147,31,101147,,,31,406726
"M45 6UF",23,66880,,,,,23,264273
"M45 6UH",31,97153,31,97153,,,32,462455
"M45 6UJ",20,55749,20,55749,,,20,243619
"M45 6UL",16,43628,,,,,16,206794
"M45 6UP",19,52771,19,52771,,,19,223266
"M45 6UQ",15,45674,15,45674,,,15,220240
"M45 6UR",18,58785,18,58785,,,18,239246
"M45 6US",28,75701,,,,,28,346611
"M45 6WD",21,60114,21,60114,,,21,253798
"M45 6WG",32,95500,,,,,32,379273
"M45 7AG",,,,,,,,
"M45 7AL",32,255581,5,32331,27,223251,,
"M45 7AT",12,31797,,,,,13,179960
"M45 7AW",9,21598,9,21598,,,9,83542
"M45 7AX",20,87170,,,,,,
"M45 7AY",7,41459,,,,,11,172981
"M45 7AZ",33,82887,33,82887,,,33,322280
"M45 7BA",,,,,,,,
"M45 7BB",22,51801,22,51801,,,22,240912
"M45 7BD",25,94594,25,94594,,,26,453545
"M45 7BG",,,,,,,,
"M45 7BL",,,,,,,,
"M45 7BN",20,61551,,,,,19,269677
"M45 7BQ",5,7724,5,7724,,,5,40917
"M45 7BX",7,53620,7,53620,,,8,336212
"M45 7BY",,,,,,,,
"M45 7DJ",16,33767,16,33767,,,16,148616
"M45 7DL",26,59807,,,,,26,237688
"M45 7DQ",,,,,,,,
"M45 7DR",,,,,,,,
"M45 7DZ",,,,,,,,
"M45 7EA",,,,,,,,
"M45 7EF",,,,,,,,
"M45 7EG",16,51687,,,,,17,263373
"M45 7EH",10,30701,10,30701,,,10,139368
"M45 7EJ",8,31844,8,31844,,,8,153749
"M45 7EL",20,69686,20,69686,,,21,265251
"M45 7EN",29,84163,29,84163,,,29,314987
"M45 7EP",48,132855,,,,,48,484258
"M45 7EQ",47,145818,,,,,47,502098
"M45 7ER",23,58066,23,58066,,,24,252100
"M45 7ES",6,11428,6,11428,,,7,62019
"M45 7ET",20,63894,20,63894,,,17,181676
"M45 7EU",32,106122,,,,,32,336022
"M45 7EW",28,62286,28,62286,,,31,325337
"M45 7EX",,,,,,,,
"M45 7EY",12,46577,12,46577,,,14,290092
"M45 7EZ",8,33534,,,,,8,195737
"M45 7FA",32,136801,,,,,,
"M45 7FB",36,51998,36,51998,,,31,211993
"M45 7FD",,,,,,,,
"M45 7FG",34,65321,,,,,31,182615
"M45 7FH",19,84015,19,84015,,,19,282614
"M45 7FJ",16,45442,16,45442,,,17,238367
"M45 7FL",24,86022,,,,,25,337296
"M45 7FN",24,72137,24,72137,,,25,240602
"M45 7FP",15,38285,,,,,14,142082
"M45 7FQ",18,40221,18,40221,,,18,150542
"M45 7FR",,,,,,,,
"M45 7FT",27,65385,27,65385,,,27,308848
"M45 7FU",28,92933,28,92933,,,28,445828
"M45 7FW",22,57834,,,,,22,234128
"M45 7FX",,,,,,,,
"M45 7FY",21,61226,,,,,21,262285
"M45 7FZ",,,,,,,,
"M45 7GN",8,42851,8,42851,,,8,170675
"M45 7GQ",23,142256,23,142256,,,25,790796
"M45 7GU",18,40859,,,,,19,166597
"M45 7GX",38,97271,,,,,39,485374
"M45 7GY",27,73961,27,73961,,,27,304699
"M45 7GZ",24,58260,24,58260,,,24,198747
"M45 7HA",13,40029,13,40029,,,13,148776
"M45 7HD",,,,,,,,
"M45 7HE",23,36837,23,36837,,,20,168476
"M45 7HF",5,22794,5,22794,,,5,74130
"M45 7HG",21,44115,,,,,17,124818
"M45 7HH",6,39516,6,39516,,,5,138494
"M45 7HJ",19,52657,19,52657,,,17,204619
"M45 7HL",17,59123,,,,,18,256372
"M45 7HN",,,,,,,,
"M45 7HP",25,58365,,,,,25,229224
"M45 7HR",12,74984,,,,,12,316088
"M45 7HS",6,36455,6,36455,,,6,127308
"M45 7HT",7,18971,7,18971,,,6,100090
"M45 7HW",19,57059,19,57059,,,18,192062
"M45 7JB",23,50499,,,,,24,236903
"M45 7JD",,,,,,,,
"M45 7JE",11,35411,,,,,11,147781
"M45 7JF",,,,,,,,
"M45 7JG",,,,,,,,
"M45 7JH",13,96131,,,,,,
"M45 7JJ",,,,,,,,
"M45 7JL",8,25813,8,25813,,,8,162213
"M45 7JN",7,27493,7,27493,,,7,126589
"M45 7JP",8,33505,8,33505,,,8,150034
"M45 7JQ",,,,,,,,
"M45 7JR",12,45954,,,,,13,284714
"M45 7JS",6,28065,6,28065,,,6,195979
"M45 7JX",7,25828,7,25828,,,6,91633
"M45 7LA",8,44962,8,44962,,,8,171303
"M45 7LB",6,48034,6,48034,,,6,258754
"M45 7LD",21,207817,,,,,24,895133
"M45 7LE",11,152091,,,,,6,242950
"M45 7LF",7,66278,7,66278,,,8,317654
"M45 7LG",10,38494,,,,,10,237775
"M45 7LH",13,59625,,,,,14,284207
"M45 7LL",8,56733,,,,,9,332482
"M45 7LN",17,114994,17,114994,,,17,445173
"M45 7LP",14,60106,14,60106,,,13,357480
"M45 7LQ",5,32946,5,32946,,,5,138903
"M45 7LR",8,27940,8,27940,,,8,135525
"M45 7LS",20,115332,20,115332,,,21,563600
"M45 7LT",,,,,,,,
"M45 7LU",14,124684,14,124684,,,14,474618
"M45 7LX",15,68182,15,68182,,,13,262383
"M45 7NE",7,37970,7,37970,,,9,202856
"M45 7NF",9,63006,,,,,10,315163
"M45 7NG",,,,,,,,
"M45 7NJ",18,94411,18,94411,,,18,453600
"M45 7NL",26,95219,,,,,27,444769
"M45 7NN",8,35746,,,,,8,178144
"M45 7NP",5,7204,5,7204,,,6,68292
"M45 7NQ",33,103315,33,103315,,,32,436175
"M45 7NT",21,228250,,,,,14,599960
"M45 7NW",12,43189,12,43189,,,12,203380
"M45 7NY",14,61636,14,61636,,,15,328971
"M45 7NZ",24,61532,,,,,23,276160
"M45 7PB",9,39178,9,39178,,,9,191305
"M45 7PD",16,80852,,,,,16,343114
"M45 7PE",50,351527,25,164752,25,186775,8,183078
"M45 7PF",21,66459,15,38512,6,27947,17,125076
"M45 7PG",47,156280,,,,,48,696833
"M45 7PH",,,,,,,,
"M45 7PJ",19,84108,19,84108,,,19,366773
"M45 7PL",9,33556,9,33556,,,8,193058
"M45 7PN",26,110261,26,110261,,,26,492483
"M45 7PQ",16,65949,16,65949,,,16,246242
"M45 7PR",20,69292,20,69292,,,21,300068
"M45 7PS",13,64761,13,64761,,,13,240400
"M45 7PT",18,62756,18,62756,,,18,395104
"M45 7PU",20,71403,9,19381,11,52022,10,54521
"M45 7PW",20,84333,,,,,20,273325
"M45 7PY",20,54628,,,,,21,352683
"M45 7QA",14,56865,14,56865,,,13,179075
"M45 7QG",32,149471,,,,,32,946043
"M45 7QJ",,,,,,,,
"M45 7QR",6,26028,6,26028,,,6,115055
"M45 7QT",,,,,,,,
"M45 7QW",19,92417,19,92417,,,19,429517
"M45 7QX",6,18693,,,,,6,95669
"M45 7QY",28,83263,,,,,27,366146
"M45 7QZ",22,66517,22,66517,,,21,357005
"M45 7RA",33,49049,33,49049,,,35,146047
"M45 7RB",17,43105,,,,,17,185123
"M45 7RD",30,89181,,,,,29,280358
"M45 7RE",35,98314,,,,,35,434972
"M45 7RF",48,110737,,,,,47,421897
"M45 7RG",12,44348,,,,,12,191308
"M45 7RH",20,57801,20,57801,,,20,186795
"M45 7RJ",17,35734,17,35734,,,16,154834
"M45 7RL",6,27047,6,27047,,,6,142735
"M45 7RN",16,51361,,,,,14,189787
"M45 7RP",11,41794,11,41794,,,11,159992
"M45 7RQ",39,106018,,,,,39,513563
"M45 7RR",18,83948,,,,,16,218908
"M45 7RS",7,10113,,,,,7,95895
"M45 7RT",22,57719,22,57719,,,22,306688
"M45 7RU",,,,,,,,
"M45 7RW",16,87736,,,,,17,366079
"M45 7RX",7,15179,7,15179,,,6,76766
"M45 7RY",13,45697,13,45697,,,14,181390
"M45 7SA",5,14400,5,14400,,,5,78819
"M45 7SD",6,17304,6,17304,,,6,48607
"M45 7SE",17,39487,,,,,22,286018
"M45 7SF",24,67132,,,,,23,278578
"M45 7SG",26,83629,26,83629,,,26,255070
"M45 7SH",22,59208,22,59208,,,22,330104
"M45 7SJ",22,62570,22,62570,,,21,306053
"M45 7SL",17,43828,,,,,17,194378
"M45 7SN",19,41214,19,41214,,,19,198234
"M45 7SP",11,28239,11,28239,,,10,110871
"M45 7SQ",15,32156,15,32156,,,16,163745
"M45 7SS",24,61053,24,61053,,,24,264203
"M45 7ST",17,49205,,,,,17,181406
"M45 7SU",32,97634,,,,,32,479089
"M45 7SW",10,18643,10,18643,,,10,180155
"M45 7SX",6,22829,6,22829,,,8,211526
"M45 7SY",18,66273,18,66273,,,19,291666
"M45 7SZ",25,54956,25,54956,,,24,266073
"M45 7TA",,,,,,,,
"M45 7TD",11,24604,11,24604,,,11,85245
"M45 7TH",16,40119,16,40119,,,16,165706
"M45 7TT",13,30688,13,30688,,,13,141815
"M45 7TU",6,13311,6,13311,,,6,106747
"M45 7UA",21,178969,21,178969,,,23,774234
"M45 7UB",9,32462,9,32462,,,9,156496
"M45 7UD",8,24919,8,24919,,,8,145183
"M45 7UE",10,65836,10,65836,,,10,197763
"M45 7UL",23,158078,,,,,21,597924
"M45 7UN",9,18580,9,18580,,,8,92676
"M45 7UP",8,24977,,,,,8,107651
"M45 7UQ",7,17212,7,17212,,,7,77825
"M45 7UT",10,24604,10,24604,,,10,101691
"M45 7UU",,,,,,,,
"M45 7UW",5,31659,,,,,,
"M45 7UY",6,83932,,,,,,
"M45 7UZ",46,286816,,,42,255293,,
"M45 7WB",,,,,,,,
"M45 7WE",,,,,,,,
"M45 7WF",8,29426,8,29426,,,8,161081
"M45 7WG",13,50002,13,50002,,,14,191042
"M45 7WH",9,52020,9,52020,,,10,292197
"M45 7WJ",6,35289,,,,,6,221134
"M45 7WL",24,94962,24,94962,,,24,353729
"M45 7WN",18,44044,18,44044,,,18,258871
"M45 7WP",31,71954,,,,,30,219839
"M45 7WQ",19,65645,,,,,20,328940
"M45 7WR",6,24532,6,24532,,,6,128968
"M45 7WS",10,34858,10,34858,,,10,226583
"M45 7WU",7,34455,7,34455,,,7,159573
"M45 7WW",16,56694,,,,,16,279724
"M45 7WX",19,104178,,,15,97519,,
"M45 7WY",8,79155,8,79155,,,8,347963
"M45 7WZ",,,,,,,,
"M45 7XQ",5,19182,5,19182,,,,
"M45 7YA",68,196154,68,196154,,,68,877346
"M45 7YB",10,55150,10,55150,,,11,232125
"M45 8AB",,,,,,,,
"M45 8AE",7,16251,7,16251,,,9,73732
"M45 8AF",11,23533,11,23533,,,12,119332
"M45 8AG",27,77369,27,77369,,,25,262305
"M45 8AJ",10,63817,10,63817,,,,
"M45 8AN",5,15592,5,15592,,,5,83729
"M45 8AQ",5,8055,5,8055,,,5,27940
"M45 8BB",18,33635,18,33635,,,18,162345
"M45 8BD",31,73295,31,73295,,,34,311673
"M45 8BE",11,29597,11,29597,,,13,118157
"M45 8BL",36,139412,36,139412,,,36,373782
"M45 8DN",21,43479,21,43479,,,11,97980
"M45 8DY",6,14337,6,14337,,,6,100697
"M45 8DZ",35,77784,35,77784,,,35,358856
"M45 8EA",11,39582,11,39582,,,11,129183
"M45 8ED",,,,,,,,
"M45 8EG",19,48705,19,48705,,,19,216911
"M45 8EH",,,,,,,,
"M45 8EL",,,,,,,,
"M45 8EN",6,19015,6,19015,,,16,155781
"M45 8EP",10,26197,10,26197,,,10,109611
"M45 8EQ",35,88268,35,88268,,,35,448420
"M45 8ER",33,106719,33,106719,,,33,470999
"M45 8ES",30,86852,30,86852,,,30,316390
"M45 8ET",27,81230,,,,,27,356877
"M45 8EU",36,142233,,,,,30,369133
"M45 8EW",,,,,,,,
"M45 8EX",32,81436,,,,,34,355485
"M45 8EZ",7,22140,7,22140,,,8,87672
"M45 8FE",14,41732,14,41732,,,13,154634
"M45 8FG",21,106538,21,106538,,,19,212532
"M45 8FH",,,,,,,,
"M45 8FJ",,,,,,,,
"M45 8FN",27,71371,27,71371,,,27,318390
"M45 8FP",22,42832,22,42832,,,22,177533
"M45 8FQ",33,106916,33,106916,,,34,415999
"M45 8FR",27,54893,27,54893,,,29,379959
"M45 8FS",44,134648,,,,,43,558956
"M45 8FT",20,57352,,,,,20,257056
"M45 8FU",16,38006,,,,,15,157439
"M45 8FW",12,44127,12,44127,,,12,137839
"M45 8FX",23,57090,,,,,22,296533
"M45 8GA",11,34772,11,34772,,,10,81375
"M45 8GD",8,24105,8,24105,,,8,70119
"M45 8GE",5,22148,5,22148,,,5,45372
"M45 8GF",12,28465,12,28465,,,12,126259
"M45 8GG",16,40847,16,40847,,,15,150883
"M45 8GH",,,,,,,,
"M45 8GJ",13,26290,,,,,12,92615
"M45 8GP",7,20800,7,20800,,,7,66717
"M45 8GQ",,,,,,,,
"M45 8GR",14,59192,14,59192,,,15,180919
"M45 8GS",,,,,,,,
"M45 8GT",14,33966,,,,,14,95936
"M45 8GW",,,,,,,,
"M45 8GY",11,21073,11,21073,,,10,46416
"M45 8GZ",,,,,,,,
"M45 8HA",20,51239,20,51239,,,20,228219
"M45 8HB",8,21903,8,21903,,,8,103058
"M45 8HD",6,27548,6,27548,,,6,73268
"M45 8HE",5,6303,5,6303,,,5,22358
"M45 8HF",,,,,,,,
"M45 8HG",5,6915,5,6915,,,5,24292
"M45 8HJ",16,44188,16,44188,,,16,164186
"M45 8HL",25,90309,,,,,25,301208
"M45 8HN",23,71862,23,71862,,,21,225401
"M45 8HP",32,78888,,,,,30,254291
"M45 8HQ",10,30896,10,30896,,,9,88672
"M45 8HR",14,35841,14,35841,,,14,117060
"M45 8HS",11,25983,11,25983,,,9,82007
"M45 8HT",15,50522,,,,,15,112172
"M45 8HU",9,24163,9,24163,,,9,84952
"M45 8HW",17,54420,17,54420,,,17,203714
"M45 8HX",30,92028,30,92028,,,28,272058
"M45 8HY",23,94631,23,94631,,,20,122998
"M45 8HZ",13,56125,13,56125,,,13,159338
"M45 8JA",10,17534,10,17534,,,9,52247
"M45 8JB",16,47687,16,47687,,,16,123552
"M45 8JD",17,48641,17,48641,,,16,126673
"M45 8JE",17,51225,,,,,14,101074
"M45 8JF",24,63832,24,63832,,,25,216508
"M45 8JG",13,16286,13,16286,,,14,86833
"M45 8JH",39,124641,39,124641,,,39,427345
"M45 8JJ",9,18879,9,18879,,,8,71997
"M45 8JL",29,83159,29,83159,,,28,267676
"M45 8JN",32,100192,,,,,30,272001
"M45 8JP",26,98353,,,,,23,230499
"M45 8JQ",17,48354,17,48354,,,19,169123
"M45 8JR",27,77292,,,,,27,291735
"M45 8JS",17,48492,,,,,17,152098
"M45 8JT",21,79073,,,,,19,132534
"M45 8JU",28,76674,28,76674,,,28,242769
"M45 8JW",20,50544,20,50544,,,19,163039
"M45 8JX",29,61035,29,61035,,,28,204185
"M45 8JY",6,18356,6,18356,,,6,68876
"M45 8JZ",7,14806,7,14806,,,7,50501
"M45 8LA",35,101624,,,,,36,336815
"M45 8LB",28,76609,28,76609,,,27,244870
"M45 8LD",6,12759,6,12759,,,5,35963
"M45 8LE",17,48013,17,48013,,,16,95266
"M45 8LF",49,180890,49,180890,,,20,173064
"M45 8LG",23,55538,23,55538,,,21,197395
"M45 8LH",25,64596,25,64596,,,26,257996
"M45 8LJ",21,48362,21,48362,,,21,159284
"M45 8LL",37,71941,37,71941,,,33,250513
"M45 8LN",33,76285,33,76285,,,30,230077
"M45 8LP",13,27492,13,27492,,,14,130757
"M45 8LQ",11,44859,11,44859,,,11,124747
"M45 8LR",11,39853,11,39853,,,11,120575
"M45 8LS",19,47238,,,,,15,98292
"M45 8LT",23,51895,23,51895,,,22,209308
"M45 8LU",13,40352,13,40352,,,11,121163
"M45 8LW",31,83117,31,83117,,,24,201406
"M45 8LX",11,27038,11,27038,,,11,90823
"M45 8LY",8,32603,8,32603,,,8,63629
"M45 8LZ",12,31146,,,,,12,139112
"M45 8NB",11,28752,11,28752,,,10,74131
"M45 8ND",20,45400,20,45400,,,20,139603
"M45 8NE",11,31878,11,31878,,,10,159752
"M45 8NF",33,117846,,,,,32,305640
"M45 8NG",,,,,,,,
"M45 8NH",,,,,,,,
"M45 8NJ",11,25302,11,25302,,,12,169640
"M45 8NL",27,60005,27,60005,,,24,188689
"M45 8NN",47,115739,47,115739,,,55,477233
"M45 8NP",5,9729,5,9729,,,6,91812
"M45 8NQ",23,46426,23,46426,,,21,146748
"M45 8NR",18,39006,18,39006,,,19,169907
"M45 8NS",8,27212,,,,,8,67946
"M45 8NT",48,58562,48,58562,,,7,36219
"M45 8NU",21,69022,21,69022,,,20,204581
"M45 8NW",50,158340,,,,,48,406949
"M45 8NX",10,27599,10,27599,,,11,96608
"M45 8NY",19,68946,19,68946,,,19,191748
"M45 8NZ",11,32675,11,32675,,,11,106034
"M45 8PA",19,60688,19,60688,,,20,269261
"M45 8PB",35,51080,35,51080,,,35,217469
"M45 8PD",18,64048,,,,,19,215612
"M45 8PE",24,51115,24,51115,,,24,138973
"M45 8PF",40,75623,36,70995,,,38,281172
"M45 8PG",44,80169,,,,,44,377243
"M45 8PH",19,46060,,,,,17,107361
"M45 8PJ",13,30185,,,,,13,138112
"M45 8PL",29,84052,,,,,25,313297
"M45 8PN",27,64079,27,64079,,,27,208171
"M45 8PP",31,76575,27,52831,,,31,261237
"M45 8PQ",15,25432,15,25432,,,16,114709
"M45 8PR",31,58678,31,58678,,,31,212810
"M45 8PS",13,38259,13,38259,,,14,99760
"M45 8PT",23,37718,23,37718,,,23,111712
"M45 8PU",38,60337,38,60337,,,37,229300
"M45 8PW",29,62237,,,,,29,276296
"M45 8PX",43,121926,43,121926,,,43,406442
"M45 8QD",39,167947,21,65720,18,102227,21,226719
"M45 8QH",,,,,,,,
"M45 8QL",,,,,,,,
"M45 8QN",12,41157,12,41157,,,15,240660
"M45 8QP",,,,,,,,
"M45 8QQ",31,144304,10,29472,21,114832,,
"M45 8QS",,,,,,,,
"M45 8QU",20,40541,20,40541,,,20,159042
"M45 8QW",8,35379,8,35379,,,8,84135
"M45 8QX",,,,,,,,
"M45 8QY",10,32624,10,32624,,,10,153118
"M45 8RA",,,,,,,,
"M45 8RB",,,,,,,,
"M45 8RD",7,16036,7,16036,,,5,30862
"M45 8RE",18,38140,18,38140,,,17,140089
"M45 8RF",11,33520,11,33520,,,11,103789
"M45 8RG",6,11138,6,11138,,,6,37988
"M45 8RH",7,17640,7,17640,,,8,87570
"M45 8RJ",9,30445,9,30445,,,7,48795
"M45 8RL",6,19457,6,19457,,,6,55721
"M45 8RN",10,23121,10,23121,,,12,99516
"M45 8RP",12,39672,12,39672,,,12,95753
"M45 8RQ",,,,,,,,
"M45 8RR",8,27408,8,27408,,,8,77055
"M45 8RS",10,38325,10,38325,,,10,88441
"M45 8RT",19,45094,19,45094,,,18,161303
"M45 8RU",8,20186,8,20186,,,7,60894
"M45 8RW",7,17614,,,,,5,43120
"M45 8RX",5,22112,5,22112,,,5,45448
"M45 8RY",8,26488,8,26488,,,8,92035
"M45 8RZ",8,18781,8,18781,,,8,97886
"M45 8SA",,,,,,,,
"M45 8SB",38,148730,38,148730,,,38,495755
"M45 8SD",29,104513,29,104513,,,29,364831
"M45 8SE",26,84203,26,84203,,,26,232710
"M45 8SF",20,52902,20,52902,,,20,153726
"M45 8SG",29,90634,29,90634,,,30,332524
"M45 8SJ",39,139812,39,139812,,,39,396095
"M45 8SL",9,25408,9,25408,,,9,77461
"M45 8SP",8,15207,,,,,8,50047
"M45 8SR",33,54013,,,,,32,223309
"M45 8SS",14,20737,14,20737,,,14,81415
"M45 8TD",,,,,,,,
"M45 8UD",8,30408,8,30408,,,8,105268
"M45 8UT",11,25636,11,25636,,,12,79165
"M45 8UZ",9,29127,,,,,10,100136
"M45 8WA",6,13337,6,13337,,,5,92622
"M45 8WB",7,25016,7,25016,,,7,61207
"M45 8WE",35,93177,,,,,34,363513
"M45 8WF",14,59967,,,,,15,195769
"M45 8WG",16,31417,16,31417,,,16,143483
"M45 8WH",9,36243,,,,,7,67662
"M45 8WJ",16,46055,16,46055,,,16,126961
"M45 8WL",17,40706,17,40706,,,17,151007
"M45 8WN",38,95738,38,95738,,,37,316115
"M45 8WP",7,11927,7,11927,,,6,35952
"M45 8WQ",10,19914,,,,,8,93238
"M45 8WR",,,,,,,,
"M45 8WS",13,32907,13,32907,,,12,109001
"M45 8WT",5,12471,,,,,5,49404
"M45 8WU",,,,,,,,
"M45 8WW",10,32520,10,32520,,,10,109798
"M45 8WX",32,103546,,,,,31,254229
"M45 8WY",79,229952,,,,,80,875053
"M45 8WZ",21,60690,21,60690,,,20,168582
"M45 8XR",25,184937,,,,,,
"M45 8XS",,,,,,,,
"M45 8XZ",16,54516,16,54516,,,16,213805
"M5 0AA",,,,,,,,
"M5 0AE",,,,,,,,
"M5 0AW",,,,,,,,
"M5 0BN",,,,,,,,
"M5 0BT",,,,,,,,
"M5 0BY",,,,,,,,
"M5 0DN",,,,,,,,
"M5 0DP",,,,,,,,
"M5 0DX",,,,,,,,
"M5 0DZ",,,,,,,,
"M5 0EG",,,,,,,,
"M5 0EJ",,,,,,,,
"M5 0EN",,,,,,,,
"M5 0EP",,,,,,,,
"M5 0EX",,,,,,,,
"M5 0HF",,,,,,,,
"M5 0HJ",,,,,,,,
"M5 0HL",,,,,,,,
"M5 0HN",,,,,,,,
"M5 0HP",,,,,,,,
"M5 0HQ",,,,,,,,
"M5 0HR",,,,,,,,
